InventoryID,ProductID,WarehouseID,StockOnHand,ReorderLevel,SafetyStock,StockAgeDays,AvgMonthlySales,StockStatus,LastPurchasePrice,LastUpdated
1,1,1,472,58.0,3,237,6.08,Overstock,175.67,2024-10-14
2,1,2,942,54.0,6,333,15.37,Overstock,416.01,2024-12-10
3,1,3,343,77.0,3,8,27.85,Overstock,95.43,2025-07-02
4,1,4,422,91.0,4,324,8.67,Overstock,78.94,2025-08-18
5,1,5,466,51.0,10,305,20.18,Overstock,303.12,2025-05-28
6,1,6,565,67.0,7,272,25.18,Overstock,386.91,2025-09-27
7,1,7,785,92.0,6,208,9.7,Overstock,485.49,2024-10-07
8,1,8,381,89.0,8,199,43.05,Overstock,323.7,2025-05-02
9,1,9,977,89.0,3,67,30.78,Overstock,28.32,2024-11-11
10,1,10,803,75.0,10,85,34.11,Overstock,84.41,2025-01-29
11,1,11,376,60.0,6,61,7.73,Overstock,342.13,2025-04-06
12,1,12,513,67.0,9,20,10.92,Overstock,335.65,2025-02-17
13,1,13,336,73.0,3,69,5.57,Overstock,144.1,2024-11-21
14,1,14,651,86.0,7,360,30.76,Overstock,113.84,2024-11-18
15,1,15,454,97.0,6,248,8.91,Overstock,400.31,2024-11-23
16,1,16,519,56.0,4,141,40.8,Overstock,292.67,2025-05-15
17,1,17,533,83.0,8,168,6.53,Overstock,326.27,2025-03-31
18,1,18,516,50.0,7,116,27.32,Overstock,97.62,2025-07-02
19,1,19,327,100.0,1,279,25.22,Overstock,369.04,2025-01-26
20,1,20,904,96.0,6,353,42.51,Overstock,376.55,2024-11-10
21,2,1,360,68.0,7,289,33.52,Overstock,494.12,2025-06-02
22,2,2,514,68.0,1,88,19.1,Overstock,488.15,2025-08-06
23,2,3,436,85.0,6,285,19.36,Overstock,94.39,2025-07-02
24,2,4,759,57.0,3,204,39.06,Overstock,397.79,2025-09-15
25,2,5,308,75.0,8,194,41.25,Overstock,107.28,2024-11-09
26,2,6,854,91.0,7,191,22.78,Overstock,56.69,2024-12-01
27,2,7,356,98.0,1,148,43.27,Overstock,358.14,2025-09-26
28,2,8,871,64.0,4,224,20.98,Overstock,26.63,2025-01-26
29,2,9,654,68.0,9,120,15.44,Overstock,370.25,2025-03-29
30,2,10,409,95.0,3,132,40.06,Overstock,56.45,2025-08-08
31,2,11,421,59.0,9,151,49.8,Overstock,62.37,2025-03-07
32,2,12,872,87.0,10,341,36.06,Overstock,397.85,2025-08-18
33,2,13,571,56.0,4,305,12.59,Overstock,362.98,2025-09-27
34,2,14,383,86.0,10,205,23.27,Overstock,424.18,2025-03-12
35,2,15,331,85.0,3,44,36.69,Overstock,5.71,2025-09-26
36,2,16,647,77.0,7,279,44.23,Overstock,489.15,2025-01-30
37,2,17,331,77.0,9,238,35.64,Overstock,242.99,2025-04-09
38,2,18,488,72.0,4,328,43.86,Overstock,9.96,2025-04-04
39,2,19,703,68.0,3,134,13.36,Overstock,235.1,2024-11-18
40,2,20,980,59.0,1,302,32.94,Overstock,77.32,2025-04-17
41,3,1,833,69.0,2,230,7.46,Overstock,234.38,2025-06-17
42,3,2,586,89.0,1,115,25.55,Overstock,72.46,2024-10-06
