ProductID,ProductName,Category,Brand,UnitPrice,CostPrice,VendorID,ProductStatus,LaunchDate,SupplierCategory,WeightVolume
1,HarperCollins Sci-Fi Paperback,Books,HarperCollins,30.49,24.38,17.0,Active,2022-06-22,Local,0.57
2,Penguin Random House Fiction Novel,Books,Penguin Random House,53.57,31.61,42.0,Active,2024-09-23,International,0.66
3,Clorox Glass Cleaner,Household,Clorox,31.78,26.07,39.0,Active,2021-06-21,International,4.74
4,Columbia Sleeping Bag,Sports & Outdoors,Columbia,261.04,156.83,30.0,Active,2021-12-04,International,8.33
5,Penguin Random House Fantasy Series,Books,Penguin Random House,15.33,13.59,43.0,Active,2021-02-27,Local,0.72
6,Fitbit Electric Toothbrush,Health & Wellness,Fitbit,36.28,23.02,5.0,Active,2022-01-23,Local,0.9
7,Ashley Furniture Media Console,Furniture,Ashley Furniture,404.29,325.93,34.0,Active,2021-12-06,International,82.21
8,Yeti Sleeping Bag,Sports & Outdoors,Yeti,121.39,95.72,9.0,Active,2022-07-14,International,2.96
9,Columbia Soft Cooler,Sports & Outdoors,Columbia,230.89,180.84,38.0,Active,2023-08-15,Local,7.4
10,Ashley Furniture Sectional Sofa,Furniture,Ashley Furniture,1373.81,883.91,43.0,Active,2021-06-01,Local,69.19
11,Duplicate Product Name,Home Goods,Vitamix,99.17,78.98,9.0,Active,2022-07-11,Local,13.78
12,Duplicate Product Name,Beauty,Aveeno,36.67,29.25,15.0,Active,2022-07-16,International,0.23
13,Duplicate Product Name,Books,HarperCollins,35.87,24.69,8.0,Active,2023-08-28,Local,0.96
14,,Household,Clorox,26.27,17.15,44.0,Active,2024-05-24,Local,4.34
15,  Leading Space Product  ,Grocery,Starbucks,35.12,30.1,37.0,Discontinued,2023-03-18,Local,1.75
16,Patagonia Slim Jeans,Apparel,Patagonia,94.86,59.32,12.0,Active,2022-06-28,Local,0.39
17,Penguin Random House Self-Help Guide,Books,Penguin Random House,37.03,30.06,49.0,Active,2023-04-23,Local,0.6
18,Tide Fabric Softener,Household,Tide,7.68,4.45,35.0,Active,2023-12-01,Local,1.95
19,Califia Farms Black Tea Bags,Grocery,Califia Farms,53.18,42.2,41.0,Active,2020-12-23,International,0.76
20,Yeti Portable Hammock,Sports & Outdoors,Yeti,192.03,101.03,11.0,Active,2023-06-08,International,4.83
21,HarperCollins Children's Book,Books,HarperCollins,-10.0,31.0,44.0,Active,2022-05-17,International,0.55
22,Vitamix Cordless Vacuum,Home Goods,Vitamix,100000.0,43.98,15.0,Active,2022-10-20,International,9.26
23,Adidas Graphic T-Shirt,Apparel,Adidas,168.67,253.005,3.0,Active,2023-10-01,International,0.97
24,Samsung Gaming Laptop,Electronics,Samsung,147.98,76.85,2.0,Active,2021-05-22,Local,0.71
25,Swiffer Fabric Softener,Household,Swiffer,13.24,10.25,45.0,Active,2020-11-15,Local,0.95
26,Fitbit Resistance Bands,Health & Wellness,Fitbit,99.72,66.57,9.0,Active,2024-02-22,Local,1.89
27,Nike Down Vest,Apparel,Nike,127.06,73.68,39.0,Active,2023-06-18,Local,0.38
28,Columbia Insulated Bottle,Sports & Outdoors,Columbia,79.6,55.6,36.0,Active,2022-07-03,International,3.64
29,Samsung Fitness Watch,Electronics,Samsung,135.08,112.67,8.0,Active,2021-04-03,Local,0.54
30,Nike Running Shorts,Apparel,Nike,206.43,122.3,42.0,Discontinued,2021-09-10,Local,0.75
31,All-Clad Aromatherapy Diffuser,otheR,All-Clad,518.0,425.09,24.0,Active,2023-05-01,International,2.33
32,LogiTech Gaming Laptop,Electronics,LogiTech,650.1,493.35,43.0,Active,2022-03-14,International,4.78
33,Adidas Down Vest,Apparel,Adidas,188.92,103.06,12.0,Active,2024-07-19,Local,1.27
34,Tide Floor Cleaner,Household,Tide,31.83,17.35,11.0,Active,2020-11-17,Local,4.74
35,Patagonia Hooded Sweatshirt,Apparel,Patagonia,207.69,170.49,31.0,Active,2021-05-13,Local,0.63
36,Penguin Random House Self-Help Guide,Books,Penguin Random House,53.82,47.87,47.0,Active,2022-07-20,International,0.38
37,Clorox Kitchen Cleaner,Household,Clorox,9.88,6.18,42.0,Active,2022-03-26,International,3.95
38,Penguin Random House Self-Help Guide,Books,Penguin Random House,59.01,50.11,43.0,Active,2022-07-11,International,0.73
39,IKEA Media Console,Furniture,IKEA,800.61,616.88,43.0,Active,2021-01-21,International,60.25
40,LogiTech Mesh Router,Electronics,LogiTech,509.29,357.64,11.0,Active,2021-04-20,Local,0.91
41,Tide Heavy-Duty Trash Bags,Household,Tide,16.53,8.6,,Active,2022-03-21,International,2.31
42,Patagonia Wool Scarf,Apparel,Patagonia,116.62,79.21,37.0,Active,2022-01-03,Local,0.27
43,IKEA Media Console,Furniture,IKEA,288.57,148.42,27.0,Active,2021-11-12,International,81.26
44,Ashley Furniture Office Desk,Furniture,Ashley Furniture,1351.65,787.66,36.0,Active,2024-08-04,International,42.7
45,Starbucks Black Tea Bags,Grocery,Starbucks,29.91,22.37,50.0,Active,2020-11-07,International,1.49
46,Levi's Down Vest,Apparel,Levi's,30.43,25.32,23.0,Discontinued,2021-06-29,Local,0.83
47,Nike Graphic T-Shirt,Apparel,Nike,204.89,113.96,32.0,Active,2022-10-27,International,0.25
48,Califia Farms Greek Yogurt,Grocery,Califia Farms,15.65,9.17,26.0,Active,2024-05-27,Local,0.81
49,Samsung Fitness Watch,Electronics,Samsung,640.29,351.7,38.0,Active,2021-03-22,Local,2.99
50,Vitamix Water Filter,Home Goods,Vitamix,47.41,24.63,48.0,Discontinued,2023-11-07,International,7.76
51,Dyson Coffee Maker,Home Goods,Dyson,366.1,302.43,47.0,inactive,2023-07-26,International,9.49
52,Hasbro Building Blocks,Toys,Hasbro,75.88,65.74,39.0,Active,2021-08-10,Local,2.9
53,Clorox Dish Soap,Household,Clorox,12.68,9.89,39.0,Active,2023-03-13,Local,3.66
54,Mattel Remote Drone,Toys,Mattel,50.21,37.64,14.0,Active,2023-07-11,Local,2.12
55,Mattel Puzzle Set,Toys,Mattel,111.02,87.06,21.0,Active,2024-09-28,Local,1.87
56,Ashley Furniture Office Desk,Furniture,Ashley Furniture,1334.59,1098.8,28.0,Active,2021-07-20,Local,23.08
57,Starbucks Whole Grain Bread,Grocery,Starbucks,58.14,51.94,11.0,Active,2021-04-17,Local,0.31
58,Bertolli Artisanal Bread,Grocery,Bertolli,9.68,5.24,29.0,Active,2021-01-17,International,1.76
59,Ashley Furniture Dining Table,Furniture,Ashley Furniture,470.75,289.54,45.0,Active,2021-06-10,International,44.88
60,LEGO Classic Board Game,Toys,LEGO,24.15,14.04,17.0,Active,2023-08-09,International,1.5
61,Ashley Furniture Wooden Bed Frame,Furniture,Ashley Furniture,1169.4,930.12,35.0,Active,2025-11-01,International,27.41
62,Dyson Toaster Oven,Home Goods,Dyson,86.33,68.55,12.0,Active,2023-12-29,Local,4.91
63,All-Clad Coffee Maker,Home Goods,All-Clad,369.11,185.39,17.0,Active,2024-08-14,International,1.56
64,Penguin Random House Biography,Books,Penguin Random House,49.81,37.17,41.0,Active,2024-09-11,Local,0.7
65,Adidas Polo Shirt,Apparel,Adidas,132.45,93.81,12.0,Active,2023-06-03,Local,0.86
66,Adidas Graphic T-Shirt,Apparel,Adidas,73.13,55.97,14.0,Active,2023-08-03,Local,1.43
67,Hasbro Building Blocks Set,Toys,Hasbro,149.57,133.48,49.0,Active,2022-12-13,International,1.5
68,Penguin Random House Fantasy Series,Books,Penguin Random House,58.15,49.68,44.0,Active,2021-11-29,International,0.38
69,Mattel Starship Set,Toys,Mattel,58.56,48.54,34.0,Active,2021-12-13,International,1.5
70,Fitbit Foam Roller,Health & Wellness,Fitbit,47.05,25.07,33.0,Active,2021-05-19,International,2.34
71,Samsung Bluetooth Earbuds,Electronics,Samsung,119.19,89.61,43.0,Active,2023-08-03,Internationl,4.19
72,Mattel Remote Drone,Toys,Mattel,134.53,108.98,48.0,Active,2023-07-21,International,2.32
73,Dell HD Webcam,Electronics,Dell,558.89,299.01,3.0,Active,2021-06-12,International,2.83
74,Starbucks Granola Bars,Grocery,Starbucks,35.02,26.34,29.0,Active,2022-03-13,Local,1.41
75,Samsung Fitness Watch,Electronics,Samsung,561.19,450.29,5.0,Active,2021-08-24,International,0.46
76,Adidas Cargo Pants,Apparel,Adidas,183.44,136.23,20.0,Active,2024-09-09,International,0.63
77,Dell USB-C Hub,Electronics,Dell,180.52,100.11,15.0,Active,2023-12-02,International,2.77
78,Vitamix Cordless Vacuum,Home Goods,Vitamix,420.9,319.54,47.0,Discontinued,2021-09-11,Local,13.25
79,Nike Down Vest,Apparel,Nike,30.98,20.37,39.0,Active,2022-09-22,Local,0.39
80,CeraVe Cleansing Balm,Beauty,CeraVe,55.23,46.43,42.0,Active,2022-03-12,Local,0.35
81,Califia Farms Spaghetti Sauce,Grocery,Califia Farms,19.74,16.6,37.0,Active,2023-01-15,International,1.99
82,IKEA Dining Table,Furniture,IKEA,542.38,325.58,5.0,Active,2022-08-14,Local,95.64
83,Dyson Coffee Maker,Home Goods,Dyson,408.79,251.02,7.0,Active,2024-09-06,Local,7.8
84,HarperCollins Fiction Novel,Books,HarperCollins,46.21,33.56,10.0,Active,2021-04-08,Local,0.6
85,CeraVe Charcoal Face Mask,Beauty,CeraVe,91.6,72.91,46.0,Active,2024-04-14,International,0.15
86,Tide Glass Cleaner,Household,Tide,24.2,15.06,50.0,Active,2021-01-05,Local,3.23
87,Dyson Water Filter,Home Goods,Dyson,154.02,131.62,47.0,Active,2022-05-05,Local,1.26
88,IKEA Sectional Sofa,Furniture,IKEA,1247.07,825.63,38.0,Active,2023-08-14,International,59.64
89,Hasbro Building Blocks,Toys,Hasbro,105.87,68.43,10.0,Active,2022-08-31,International,2.28
90,Vitamix Aromatherapy Diffuser,Home Goods,Vitamix,323.12,212.84,6.0,Active,2022-05-24,International,12.87
91,Penguin Random House Sci-Fi Paperback,Books,Penguin Random House,49.07,33.29,9.0,Active,2022-05-22,International,0.76
92,Tide Heavy-Duty Trash Bags,Household,Tide,9.02,6.27,49.0,Active,2023-01-18,Local,0.69
93,Hasbro Plush Toy,Toys,Hasbro,71.98,61.37,30.0,Active,2021-04-02,International,0.58
94,Ashley Furniture Media Console,Furniture,Ashley Furniture,1277.08,934.12,17.0,Active,2022-01-07,Local,44.07
95,IKEA Dining Table,Furniture,IKEA,847.49,753.48,25.0,Active,2021-01-17,Local,83.55
96,Tide Glass Cleaner,Household,Tide,40.77,28.57,1.0,Active,2022-08-12,Local,0.85
