ShipmentID,VendorID,ProductID,Quantity,ShipDate,ActualDeliveryDate,ExpectedDeliveryDate,Status,ShippingMode,CarrierName,DelayReason,DeliveryCost,TrackingID
1,457,1320,28,2024-04-23,2024-06-10,2024-05-22,Delayed,Sea,Amazon Logistics,Supplier Delay,26.18,fe3a7b10-c735-488f-8633-4bc880cca1b5
2,425,455,63,2024-03-10,2024-03-21,2024-03-18,Delivered,Road,Estes Express Lines,,157.26,8281f19e-8d15-40e9-a3f7-1a46c7522cf1
3,156,724,20,2025-07-14,2025-08-12,2025-08-01,Delayed,Road,Kuehne + Nagel,Supplier Delay,58.18,3b67bae4-ba69-443c-b7b5-9639c5c40224
4,31,1060,35,2025-02-20,2025-02-25,2025-02-24,Delivered,Road,J.B. Hunt,,136.04,cee379b9-da53-4d6c-b6c8-558fa6cccf8c
5,255,1976,66,2024-04-02,2024-04-20,2024-04-17,Delivered,Air,XPO Logistics,,172.18,115001db-8bc6-43f7-be59-1fb3909d95d0
6,436,506,23,2025-05-24,2025-06-03,2025-06-01,Delivered,Road,C.H. Robinson,,140.28,ce1e42da-9cca-42c7-b284-df0c85b88aaf
7,262,1647,8,2024-05-21,2024-06-02,2024-06-01,Delivered,Air,C.H. Robinson,,75.49,d6e8b2d0-d837-4a9b-9cd4-c673844584cd
8,161,450,57,2024-01-13,2024-01-24,2024-01-22,Delivered,Road,Estes Express Lines,,75.48,adb60527-82b8-48af-a30d-c11fbf8a04de
9,345,516,97,2024-12-31,2025-01-13,2025-01-14,Delivered,Road,Ryder,,178.17,382ebfdf-7474-4785-a44c-0c53acf6266c
10,214,265,71,2025-08-21,2025-09-05,2025-09-06,Delivered,Road,Deutsche Post,,24.74,06e96def-62b2-4e0b-9971-eb3976439b1c
11,102,1059,37,2023-10-21,2023-11-07,2023-11-04,Delivered,Sea,USPS,,171.19,a7ce79fc-0014-4dc9-b8ca-d8146affb256
12,32,857,21,2024-09-21,2024-10-01,2024-09-28,Delivered,Air,USPS,,36.44,94fde7dc-92bb-475a-8a51-ce6e087466c0
13,187,1953,37,2025-08-21,2025-09-09,2025-09-04,Delayed,Road,Saia,Weather,9.73,bc8edee9-29af-4a5b-b557-e05637fa4491
14,260,434,27,2025-03-20,2025-03-30,2025-03-30,Delivered,Sea,DB Schenker,,93.85,61a30a67-cff2-40d1-b559-e9d7d94ede27
15,206,616,2,2024-02-22,2024-03-05,2024-03-05,Delivered,Sea,Kuehne + Nagel,,84.06,ab200f58-e3a4-4e2a-8bcd-b7332da9cc16
